,Mkt-RF,SMB,HML,RMW,CMA,RF
200701,1.4,0.12,-0.69,0.54,0.24,0.44
200702,-1.96,1.39,-0.17,-0.45,-0.74,0.38
200703,0.68,0.15,-0.83,0.55,-0.59,0.43
200704,3.49,-2.06,-1.38,1.05,1.01,0.44
200705,3.24,0.41,-0.63,1.57,-1.29,0.41
200706,-1.96,0.75,-1.1,0.57,0.07,0.4
200707,-3.73,-2.9,-3.55,0.19,-1.04,0.4
200708,0.92,-0.4,-1.91,-1.33,-0.56,0.42
200709,3.22,-2.39,-2.21,-0.54,-3.17,0.32
200710,1.8,-0.01,-2.91,-0.25,-0.1,0.32
200711,-4.83,-2.93,-1,1.72,-0.34,0.34
200712,-0.87,0.15,-0.59,0.83,-1.09,0.27
200801,-6.36,-0.48,3.67,2.28,2.2,0.21
200802,-3.09,-0.51,-0.88,1.06,-1.06,0.13
200803,-0.93,0.66,0.14,0.95,0.47,0.17
200804,4.6,-1.07,-0.96,1.99,-2.54,0.18
200805,1.86,3.14,-1.45,1.04,0.04,0.18
200806,-8.44,1.19,-2.77,4.94,-0.42,0.17
200807,-0.77,3.63,5.27,-1.2,1.06,0.15
200808,1.53,3.4,1.45,1.88,0.81,0.13
200809,-9.24,0.28,6.07,2.31,1.78,0.15
200810,-17.23,-3.31,-2.37,2.94,1.92,0.08
200811,-7.86,-3.88,-6.31,4.5,2.72,0.03
200812,1.74,3.36,0.14,0.06,-1.41,0
200901,-8.12,-1.9,-11.12,0.44,-1.16,0
200902,-10.1,-1.2,-7.03,1.32,-1.11,0.01
200903,8.95,0.68,3.4,-2.45,-2.22,0.02
200904,10.18,6.94,5.21,1.38,0.14,0.01
200905,5.21,-2.46,0.49,-1.2,-2.16,0
200906,0.43,2.28,-2.62,-1.38,-0.18,0.01
200907,7.72,2.4,4.87,-0.41,3.21,0.01
200908,3.33,-0.1,7.5,-2.81,3.23,0.01
200909,4.08,2.72,0.89,1.57,0.38,0.01
200910,-2.59,-4.79,-4.03,3.98,-1.68,0
200911,5.56,-2.76,-0.25,0.99,0.16,0
200912,2.75,6.27,-0.11,0.82,-0.08,0.01
201001,-3.36,0.34,0.33,-1.18,0.43,0
201002,3.4,1.48,3.19,-0.4,1.43,0
201003,6.31,1.8,2.11,-0.67,1.69,0.01
201004,2,4.99,2.91,0.88,1.69,0.01
201005,-7.89,0.09,-2.39,1.24,-0.19,0.01
201006,-5.57,-2.46,-4.52,-0.31,-1.5,0.01
201007,6.93,0.09,-0.36,0.29,2.03,0.01
201008,-4.77,-3.15,-1.9,0.49,-1.67,0.01
201009,9.54,3.72,-3.23,-0.32,0.49,0.01
201010,3.88,0.71,-2.46,1.16,-0.16,0.01
201011,0.6,3.67,-0.95,0.34,1.6,0.01
201012,6.82,0.99,3.64,-3.42,3.18,0.01
201101,1.99,-2.43,0.82,-0.64,0.75,0.01
201102,3.49,1.63,1.29,-1.96,0.95,0.01
201103,0.46,2.66,-1.76,1.58,-0.01,0.01
201104,2.9,-0.56,-2.43,0.88,-0.79,0
201105,-1.27,-0.6,-2.05,2.08,-1.59,0
201106,-1.75,0.15,-0.42,2.38,-1.48,0
201107,-2.35,-1.31,-0.88,2.64,-1.68,0
201108,-5.99,-3.16,-2.56,3.41,-0.2,0.01
201109,-7.59,-3.68,-1.71,2.12,0.27,0
201110,11.35,3.47,0.13,-2.41,-0.84,0
201111,-0.28,-0.25,-0.48,1.83,1.49,0
201112,0.74,-0.39,1.68,1.01,2.36,0
