Date,Price,,,
2007-02-01,1.1761,,,
2007-03-01,1.169,,,
2007-04-01,1.1532,,,
2007-05-01,1.1092,,,
2007-06-01,1.0705,,,
2007-07-01,1.0653,,,
2007-08-01,1.0673,,,
2007-09-01,1.0558,,,
2007-10-01,0.9915,,,
2007-11-01,0.9439,,,
2007-12-01,1.0001,,,
2008-01-01,0.9967,,,  
2008-02-01,1.0038,,,
2008-03-01,0.9845,,,
2008-04-01,1.0261,,,
2008-05-01,1.0072,,,
2008-06-01,0.9934,,,
2008-07-01,1.0211,,,
2008-08-01,1.0235,,,
2008-09-01,1.0638,,,
2008-10-01,1.0645,,,
2008-11-01,1.2125,,,
2008-12-01,1.2357,,,
2009-01-01,1.2168,,,
2009-02-01,1.2269,,,
2009-03-01,1.2732,,,
2009-04-01,1.261,,,
2009-05-01,1.194,,,
2009-06-01,1.0908,,,
2009-07-01,1.1627,,,
2009-08-01,1.0779,,,
2009-09-01,1.0947,,,
2009-10-01,1.0692,,,
2009-11-01,1.0846,,,
2009-12-01,1.0557,,,
2010-01-01,1.052,,,
2010-02-01,1.0698,,,
2010-03-01,1.053,,,
2010-04-01,1.0153,,,
2010-05-01,1.0175,,,
2010-06-01,1.0451,,,
2010-07-01,1.0646,,,
2010-08-01,1.0297,,,
2010-09-01,1.0643,,,
2010-10-01,1.0291,,,
2010-11-01,1.0189,,,
2010-12-01,1.0266,,,
2011-01-01,0.997,,,
2011-02-01,1.001,,,
2011-03-01,0.9715,,,
2011-04-01,0.97,,,
2011-05-01,0.9444,,,
2011-06-01,0.9682,,,
2011-07-01,0.9633,,,
2011-08-01,0.9551,,,
2011-09-01,0.9777,,,
2011-10-01,1.0499,,,
2011-11-01,0.9995,,,
2011-12-01,1.0192,,,
2012-01-01,1.0193,,,
2012-02-01,1.0026,,,
2012-03-01,0.9894,,,
2012-04-01,0.9978,,,
2012-05-01,0.987,,,
2012-06-01,1.0331,,,
2012-07-01,1.0165,,,
2012-08-01,1.0028,,,
2012-09-01,0.9862,,,
2012-10-01,0.9835,,,
2012-11-01,0.9991,,,
2012-12-01,0.9942,,,
2013-01-01,0.9921,,,
2013-02-01,0.9969,,,
2013-03-01,1.0303,,,
2013-04-01,1.0172,,,
2013-05-01,1.0071,,,
2013-06-01,1.0375,,,
2013-07-01,1.0518,,,
2013-08-01,1.0275,,,
2013-09-01,1.0534,,,
2013-10-01,1.0308,,,
2013-11-01,1.0428,,,
2013-12-01,1.0614,,,
2014-01-01,1.062,,,
2014-02-01,1.1126,,,
2014-03-01,1.1064,,,
2014-04-01,1.1048,,,
2014-05-01,1.0958,,,
2014-06-01,1.0841,,,
2014-07-01,1.0667,,,
2014-08-01,1.0904,,,
2014-09-01,1.0875,,,
2014-10-01,1.1196,,,
2014-11-01,1.1265,,,
2014-12-01,1.1413,,,
2015-01-01,1.1618,,,
2015-02-01,1.273,,,
2015-03-01,1.2506,,,
2015-04-01,1.2686,,,
2015-05-01,1.2075,,,
2015-06-01,1.2445,,,
2015-07-01,1.2491,,,
2015-08-01,1.3086,,,
2015-09-01,1.3135,,,
2015-10-01,1.3312,,,
2015-11-01,1.3076,,,
2015-12-01,1.3362,,,
2016-01-01,1.3839,,,
2016-02-01,1.3971,,,
2016-03-01,1.3538,,,
2016-04-01,1.3004,,,
2016-05-01,1.2551,,,
2016-06-01,1.3092,,,
2016-07-01,1.2923,,,
2016-08-01,1.3028,,,
2016-09-01,1.3104,,,
2016-10-01,1.3127,,,
2016-11-01,1.3408,,,
2016-12-01,1.3433,,,
2017-01-01,1.343,,,
2017-02-01,1.3028,,,
2017-03-01,1.3299,,,
2017-04-01,1.3311,,,
2017-05-01,1.365,,,
2017-06-01,1.3499,,,
2017-07-01,1.2962,,,
2017-08-01,1.2477,,,
2017-09-01,1.248,,,
2017-10-01,1.2467,,,
2017-11-01,1.2884,,,
2017-12-01,1.2894,,,
2018-01-01,1.2577,,,
2018-02-01,1.2313,,,
2018-03-01,1.283,,,
2018-04-01,1.2891,,,
2018-05-01,1.2838,,,
2018-06-01,1.2956,,,
2018-07-01,1.313,,,
2018-08-01,1.3005,,,
2018-09-01,1.3037,,,
2018-10-01,1.2904,,,
2018-11-01,1.3152,,,
2018-12-01,1.3293,,,
2019-01-01,1.3637,,,
2019-02-01,1.3122,,,
2019-03-01,1.3166,,,
2019-04-01,1.3344,,,
2019-05-01,1.3386,,,
2019-06-01,1.3512,,,
2019-07-01,1.309,,,
2019-08-01,1.3189,,,
2019-09-01,1.331,,,
2019-10-01,1.3239,,,
2019-11-01,1.3159,,,
2019-12-01,1.3275,,,
2020-01-01,1.2986,,,
2020-02-01,1.3235,,,
2020-03-01,1.3396,,,
2020-04-01,1.4059,,,
2020-05-01,1.3941,,,
2020-06-01,1.3769,,,
2020-07-01,1.3573,,,
2020-08-01,1.3413,,,
2020-09-01,1.3045,,,
2020-10-01,1.3319,,,
2020-11-01,1.3317,,,
2020-12-01,1.3,,,
2021-01-01,1.273,,,
2021-02-01,1.2777,,,
2021-03-01,1.2739,,,
2021-04-01,1.2558,,,
2021-05-01,1.2289,,,
2021-05-31,1.2062,,,
